"site","transect","position","bagNo","round","yearStart","age","yearData","seedlingJan","intactJan","totalJan","intactOct"
"S22","IV",3,7,1,2005,2,2007,2,47,49,47
"S22","III",1,11,1,2005,2,2007,2,5,7,5
"S22","II",1,17,1,2005,2,2007,6,35,41,35
"S22","II",5,20,1,2005,2,2007,1,33,34,32
"S22","I",7,25,1,2005,2,2007,9,26,35,24
"S22","I",4,26,1,2005,2,2007,10,16,26,13
"SM","II",5,3,1,2005,2,2007,19,39,58,29
"SM","IV",5,6,1,2005,2,2007,25,37,62,29
"SM","I",7,7,1,2005,2,2007,3,24,27,22
"SM","I",3,11,1,2005,2,2007,19,23,42,18
"SM","II",4,12,1,2005,2,2007,18,42,60,27
"SM","III",5,16,1,2005,2,2007,27,27,54,17
"SM","III",8,19,1,2005,2,2007,2,76,78,60
"SM","IV",6,27,1,2005,2,2007,0,36,36,13
"URS","II",5,2,1,2005,2,2007,14,3,17,1
"URS","II",6,3,1,2005,2,2007,0,2,2,2
"URS","III",5,13,1,2005,2,2007,12,42,54,34
"URS","III",4,16,1,2005,2,2007,5,17,22,12
"URS","IV",1,26,1,2005,2,2007,6,23,29,7
"BG","II",2,2,1,2005,3,2008,0,2,2,NA
"BG","I",1,10,1,2005,3,2008,0,21,21,NA
"BG","IV",2,16,1,2005,3,2008,0,16,16,3
"BG","I",7,24,1,2005,3,2008,8,32,40,7
"BG","II",7,27,1,2005,3,2008,0,27,27,13
"BR","IV",1,2,1,2005,3,2008,0,7,7,3
"BR","I",6,4,1,2005,3,2008,0,9,9,9
"BR","IV",5,7,1,2005,3,2008,0,3,3,1
"BR","I",1,12,1,2005,3,2008,0,66,66,45
"BR","III",3,13,1,2005,3,2008,0,44,44,36
"BR","II",2,15,1,2005,3,2008,3,60,63,28
"BR","II",3,17,1,2005,3,2008,10,0,10,NA
"BR","IV",2,20,1,2005,3,2008,2,17,19,9
"BR","III",6,22,1,2005,3,2008,6,6,12,3
"BR","II",8,27,1,2005,3,2008,0,78,78,44
"CF","III",6,4,1,2005,3,2008,9,1,10,1
"CF","IV",4,6,1,2005,3,2008,10,8,18,7
"CF","III",7,7,1,2005,3,2008,8,40,48,19
"CF","I",2,13,1,2005,3,2008,0,16,16,6
"CF","I",6,14,1,2005,3,2008,6,3,9,1
"CF","IV",7,19,1,2005,3,2008,5,10,15,5
"CF","II",8,20,1,2005,3,2008,8,20,28,7
"CF","II",1,21,1,2005,3,2008,5,8,13,7
"CF","II",5,23,1,2005,3,2008,15,44,59,34
"CF","I",5,28,1,2005,3,2008,0,28,28,2
"CP3","III",2,1,1,2005,3,2008,13,8,21,7
"CP3","III",7,6,1,2005,3,2008,0,12,12,12
"CP3","IV",8,10,1,2005,3,2008,2,2,4,2
"CP3","II",7,107,1,2005,3,2008,1,2,3,2
"CP3","IV",5,22,1,2005,3,2008,0,46,46,46
"CP3","I",2,26,1,2005,3,2008,2,14,16,13
"CP3","I",7,27,1,2005,3,2008,0,5,5,5
"DEM","III",6,1,1,2005,3,2008,3,20,23,16
"DEM","II",5,3,1,2005,3,2008,2,18,20,16
"DEM","I",2,6,1,2005,3,2008,0,3,3,2
"DEM","III",4,18,1,2005,3,2008,0,5,5,0
"DEM","I",8,22,1,2005,3,2008,0,8,8,5
"DEM","II",4,24,1,2005,3,2008,0,8,8,8
"DLW","III",3,3,1,2005,3,2008,0,40,40,37
"DLW","III",4,7,1,2005,3,2008,0,12,12,10
"DLW","I",3,8,1,2005,3,2008,0,12,12,12
"DLW","V",4,15,1,2005,3,2008,0,9,9,8
"DLW","II",5,19,1,2005,3,2008,0,10,10,9
"DLW","V",1,22,1,2005,3,2008,2,18,20,16
"EC","I",3,7,1,2005,3,2008,1,3,4,3
