"site","countUndamagedFruitNumberPerPlant","countDamagedFruitNumberPerPlant","permanentPlot","year"
"LO",1,0,1,2013
"LO",1,0,1,2013
"LO",1,0,1,2013
"LO",4,0,1,2013
"LO",1,0,1,2013
"LO",1,0,1,2013
"LO",1,0,0,2013
"LO",1,0,0,2013
"MC",4,1,0,2013
"MC",3,0,0,2013
"MC",1,4,0,2013
"MC",1,4,0,2013
"MC",4,1,0,2013
"OKRE",1,0,1,2013
"OKRE",1,0,1,2013
"OKRE",2,0,1,2013
"OKRE",1,0,1,2013
"OKRE",2,1,1,2013
"OKRE",3,0,0,2013
"OKRE",7,1,0,2013
"OKRE",3,1,0,2013
"OKRE",5,1,0,2013
"OKRE",0,2,0,2013
"OKRE",2,0,0,2013
"OKRE",3,1,0,2013
"OKRE",3,2,0,2013
"OKRE",1,0,0,2013
"OKRE",2,2,0,2013
"OKRE",1,0,0,2013
"OKRE",1,0,0,2013
"OKRE",2,1,0,2013
"OKRE",3,0,0,2013
"OKRE",2,0,0,2013
"OKRE",3,0,0,2013
"OKRE",1,7,0,2013
"OKRE",2,7,0,2013
"OKRE",2,2,0,2013
"OKRE",6,6,0,2013
"OKRE",3,0,0,2013
"OKRE",6,0,0,2013
"OKRE",3,0,0,2013
"OKRE",3,0,0,2013
"OKRE",1,0,0,2013
"OKRE",2,2,0,2013
"OKRE",2,2,0,2013
"OKRE",1,6,0,2013
"OKRE",3,9,0,2013
"OKRE",1,0,0,2013
"OKRE",3,2,0,2013
"OKRE",3,2,0,2013
"OKRE",3,1,0,2013
"OKRE",3,1,0,2013
"OKRE",3,1,0,2013
"OKRE",2,0,0,2013
"OKRE",2,0,0,2013
"OKRE",2,0,0,2013
"OKRE",2,0,0,2013
"OKRE",5,1,0,2013
"OKRE",5,1,0,2013
"OKRE",5,1,0,2013
"OKRE",5,1,0,2013
"OKRE",3,1,0,2013
"OKRE",3,1,0,2013
"OKRE",2,7,0,2013
"OKRE",2,7,0,2013
"OKRE",2,1,0,2013
"OKRE",3,1,0,2013
"OKRE",3,1,0,2013
"OKRE",3,9,0,2013
"OKRE",2,1,0,2013
"OKRE",0,2,0,2013
"OKRE",3,1,0,2013
"OKRE",3,2,0,2013
"OKRE",2,2,0,2013
"OKRE",2,2,0,2013
"OKRE",1,7,0,2013
"OKRE",2,7,0,2013
"OKRE",2,2,0,2013
"OKRE",0,10,0,2013
"OKRE",6,6,0,2013
"OKRE",1,6,0,2013
"OKRW",NA,NA,0,2013
"OSR",1,0,1,2013
"OSR",2,0,0,2013
"OSR",3,0,0,2013
"OSR",3,0,0,2013
"OSR",1,0,0,2013
"OSR",3,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",9,0,0,2013
"OSR",8,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",2,0,0,2013
"OSR",2,0,0,2013
"OSR",3,0,0,2013
"OSR",8,0,0,2013
"OSR",2,0,0,2013
"OSR",5,0,0,2013
"OSR",2,0,0,2013
"OSR",2,0,0,2013
"OSR",3,0,0,2013
"OSR",2,0,0,2013
"OSR",2,0,0,2013
"OSR",1,0,0,2013
"OSR",5,0,0,2013
"OSR",1,0,0,2013
"OSR",5,0,0,2013
"OSR",1,0,0,2013
"OSR",2,0,0,2013
"OSR",29,0,0,2013
"OSR",20,0,0,2013
"OSR",2,0,0,2013
"OSR",3,0,0,2013
"OSR",6,0,0,2013
"OSR",2,0,0,2013
"OSR",2,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",2,0,0,2013
"OSR",1,0,0,2013
"OSR",1,0,0,2013
"OSR",2,0,0,2013
"OSR",1,0,0,2013
"OSR",2,0,0,2013
"OSR",5,0,0,2013
"S22",2,0,1,2013
"SM",2,0,1,2013
"SM",2,0,1,2013
"SM",4,0,1,2013
"SM",1,0,1,2013
"SM",2,0,1,2013
"SM",2,0,1,2013
"SM",2,0,1,2013
"SM",3,0,1,2013
"SM",1,0,1,2013
"SM",6,0,0,2013
"SM",2,0,0,2013
"SM",4,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",2,0,0,2013
"SM",2,0,0,2013
"SM",1,0,0,2013
"SM",6,0,0,2013
"SM",3,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",2,0,0,2013
"SM",6,0,0,2013
"SM",2,0,0,2013
"SM",3,0,0,2013
"SM",1,1,0,2013
"SM",1,0,0,2013
"SM",19,0,0,2013
"SM",10,0,0,2013
"SM",1,0,0,2013
"SM",2,0,0,2013
"SM",6,0,0,2013
"SM",2,0,0,2013
"SM",3,0,0,2013
"SM",1,0,0,2013
"SM",2,0,0,2013
"SM",2,0,0,2013
"SM",2,0,0,2013
"SM",4,0,0,2013
"SM",2,0,0,2013
"SM",2,0,0,2013
"SM",1,0,0,2013
"SM",6,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",10,0,0,2013
"SM",1,0,0,2013
"SM",3,0,0,2013
"SM",2,0,0,2013
"SM",1,1,0,2013
"SM",1,1,0,2013
"SM",10,0,0,2013
"SM",1,0,0,2013
"SM",1,0,0,2013
"SM",3,0,0,2013
"SM",1,0,0,2013
"SM",2,0,0,2013
"SM",2,0,0,2013
"URS",NA,NA,0,2013
"BG",4,2,1,2014
"BG",26,5,1,2014
"BG",2,0,1,2014
"BG",52,0,0,2014
"BG",22,7,0,2014
"BG",13,0,0,2014
"BG",24,0,0,2014
"BG",26,0,0,2014
"BG",4,0,0,2014
"BG",49,0,0,2014
"BG",14,0,0,2014
"BG",8,0,0,2014
"BG",3,0,0,2014
"BG",7,0,0,2014
"BG",43,0,0,2014
"BG",9,1,0,2014
"BG",19,0,0,2014
"BG",8,0,0,2014
"BG",4,3,0,2014
"BG",16,0,0,2014
"BG",6,1,0,2014
"BG",6,0,0,2014
"BG",3,13,0,2014
"BG",11,0,0,2014
"BG",21,0,0,2014
"BG",11,0,0,2014
"BG",26,0,0,2014
"BG",28,5,0,2014
"BG",0,2,0,2014
"BG",0,4,0,2014
"BG",6,4,0,2014
"BG",10,3,0,2014
"BG",14,4,0,2014
"BG",15,0,0,2014
"BG",27,2,0,2014
"BG",31,0,0,2014
"BG",27,6,0,2014
"BG",48,0,0,2014
"BG",10,0,0,2014
"BG",22,0,0,2014
"BG",7,1,0,2014
"BG",7,0,0,2014
"BG",19,0,0,2014
"BG",39,0,0,2014
"BG",18,0,0,2014
"BG",33,7,0,2014
"BG",8,2,0,2014
"BG",7,0,0,2014
"BG",13,0,0,2014
"BG",21,3,0,2014
"BG",14,0,0,2014
"BG",40,0,0,2014
"BG",22,0,0,2014
"BG",16,0,0,2014
"BG",2,0,0,2014
"BG",6,0,0,2014
"BG",1,0,0,2014
"BG",8,2,0,2014
"BG",14,2,0,2014
"BG",7,6,0,2014
"BG",12,4,0,2014
"BG",2,0,0,2014
"BG",4,3,0,2014
"BG",2,0,0,2014
"BG",29,0,0,2014
"BG",13,0,0,2014
"BG",21,4,0,2014
"BG",5,0,0,2014
"BG",10,4,0,2014
"BG",22,2,0,2014
"BG",11,0,0,2014
"BG",13,2,0,2014
"BG",12,0,0,2014
"BG",7,0,0,2014
"BG",8,0,0,2014
"BG",15,0,0,2014
"BG",7,1,0,2014
"BG",14,0,0,2014
"BG",13,0,0,2014
"BG",5,8,0,2014
"BG",9,4,0,2014
"BG",13,0,0,2014
"BG",14,6,0,2014
"BG",3,2,0,2014
"BG",8,4,0,2014
"BG",4,0,0,2014
"BG",12,0,0,2014
"BG",53,1,0,2014
"BG",3,0,0,2014
"BG",1,2,0,2014
"BG",19,4,0,2014
"BG",2,2,0,2014
"BR",9,0,1,2014
"BR",3,0,1,2014
"BR",16,0,1,2014
"BR",9,0,1,2014
"BR",5,0,1,2014
"BR",4,0,1,2014
"BR",9,0,1,2014
"BR",25,0,0,2014
"BR",16,0,0,2014
"BR",19,0,0,2014
"BR",6,0,0,2014
"BR",3,0,0,2014
"BR",26,2,0,2014
"BR",3,3,0,2014
"BR",10,3,0,2014
"BR",5,0,0,2014
"BR",10,0,0,2014
"BR",14,0,0,2014
"BR",6,0,0,2014
"BR",8,0,0,2014
"BR",18,0,0,2014
"BR",5,0,0,2014
"BR",5,0,0,2014
"BR",5,0,0,2014
"BR",8,0,0,2014
"BR",4,0,0,2014
"BR",5,0,0,2014
"BR",4,0,0,2014
"BR",17,0,0,2014
"BR",27,0,0,2014
"BR",8,0,0,2014
"BR",3,1,0,2014
"BR",3,0,0,2014
"BR",3,0,0,2014
"BR",14,0,0,2014
"BR",10,0,0,2014
"BR",8,2,0,2014
"BR",1,2,0,2014
"BR",20,0,0,2014
"BR",18,4,0,2014
"BR",8,2,0,2014
"BR",0,0,0,2014
"BR",6,0,0,2014
"BR",6,0,0,2014
"BR",2,0,0,2014
"BR",4,0,0,2014
"BR",7,1,0,2014
"BR",8,0,0,2014
"BR",14,2,0,2014
"BR",9,0,0,2014
"BR",2,2,0,2014
"BR",14,0,0,2014
"BR",8,6,0,2014
"BR",13,0,0,2014
"BR",18,0,0,2014
"BR",5,11,0,2014
"BR",17,2,0,2014
"BR",7,0,0,2014
"BR",9,0,0,2014
"BR",21,2,0,2014
"BR",6,3,0,2014
"BR",28,6,0,2014
"BR",8,14,0,2014
"BR",15,3,0,2014
"BR",14,3,0,2014
"BR",5,3,0,2014
"BR",12,0,0,2014
"BR",6,0,0,2014
"BR",10,11,0,2014
"BR",3,5,0,2014
"BR",9,1,0,2014
"BR",7,5,0,2014
"BR",4,0,0,2014
"BR",2,0,0,2014
"BR",0,5,0,2014
"BR",3,1,0,2014
"BR",4,0,0,2014
"BR",6,0,0,2014
"BR",2,3,0,2014
"BR",12,0,0,2014
"BR",11,0,0,2014
"BR",8,0,0,2014
"BR",7,0,0,2014
"BR",9,0,0,2014
"BR",3,0,0,2014
"BR",11,0,0,2014
"BR",4,0,0,2014
"BR",15,0,0,2014
"BR",15,2,0,2014
"BR",7,1,0,2014
"BR",12,0,0,2014
"BR",8,0,0,2014
"BR",14,0,0,2014
"BR",16,3,0,2014
"BR",3,1,0,2014
"BR",9,0,0,2014
"BR",11,0,0,2014
"BR",12,0,0,2014
"BR",7,2,0,2014
"BR",21,1,0,2014
"BR",0,3,0,2014
"BR",2,0,0,2014
"BR",14,5,0,2014
"BR",1,6,0,2014
"BR",5,1,0,2014
"BR",13,16,0,2014
"BR",3,8,0,2014
