"site","transect","position","year","seedlingNumber","fruitplNumber"
"BR","II",8,2012,57,10
"BR","II",8,2013,48,1
"BR","II",8,2014,0,0
"BR","II",8,2015,18,0
"BR","II",8,2016,0,0
"BR","II",8,2017,17,1
"BR","II",8,2018,13,14
"BR","II",8,2019,51,33
"BR","II",8,2020,569,6
"BR","II",8,2021,21,1
"BR","III",1,2006,6,1
"BR","III",1,2007,15,6
"BR","III",1,2008,110,24
"BR","III",1,2009,179,18
"BR","III",1,2010,38,9
"BR","III",1,2011,4,0
"BR","III",1,2012,7,0
"BR","III",1,2013,3,0
"BR","III",1,2014,0,1
"BR","III",1,2015,13,0
"BR","III",1,2016,0,0
"BR","III",1,2017,48,5
"BR","III",1,2018,0,3
"BR","III",1,2019,33,31
"BR","III",1,2020,691,13
"BR","III",1,2021,10,0
"BR","III",2,2006,19,2
"BR","III",2,2007,13,8
"BR","III",2,2008,58,24
"BR","III",2,2009,90,8
"BR","III",2,2010,14,4
"BR","III",2,2011,3,0
"BR","III",2,2012,8,0
"BR","III",2,2013,5,0
"BR","III",2,2014,0,0
"BR","III",2,2015,16,0
"BR","III",2,2016,0,0
"BR","III",2,2017,32,10
"BR","III",2,2018,0,1
"BR","III",2,2019,30,17
"BR","III",2,2020,427,22
"BR","III",2,2021,43,2
"BR","III",3,2006,17,4
"BR","III",3,2007,10,6
"BR","III",3,2008,139,14
"BR","III",3,2009,66,5
"BR","III",3,2010,11,2
"BR","III",3,2011,13,0
"BR","III",3,2012,25,0
"BR","III",3,2013,4,0
"BR","III",3,2014,1,0
"BR","III",3,2015,11,0
"BR","III",3,2016,0,0
"BR","III",3,2017,0,0
"BR","III",3,2018,0,1
"BR","III",3,2019,43,42
"BR","III",3,2020,556,19
"BR","III",3,2021,55,0
"BR","III",4,2006,23,5
"BR","III",4,2007,11,1
"BR","III",4,2008,28,5
"BR","III",4,2009,74,19
"BR","III",4,2010,21,16
"BR","III",4,2011,15,7
"BR","III",4,2012,34,1
"BR","III",4,2013,19,0
"BR","III",4,2014,0,0
"BR","III",4,2015,1,0
"BR","III",4,2016,0,0
"BR","III",4,2017,1,0
"BR","III",4,2018,1,1
"BR","III",4,2019,1,4
"BR","III",4,2020,80,9
"BR","III",4,2021,10,1
"BR","III",5,2006,46,7
"BR","III",5,2007,41,12
"BR","III",5,2008,91,20
"BR","III",5,2009,44,21
"BR","III",5,2010,26,20
"BR","III",5,2011,14,1
"BR","III",5,2012,15,1
"BR","III",5,2013,15,1
"BR","III",5,2014,0,0
"BR","III",5,2015,0,0
"BR","III",5,2016,0,0
"BR","III",5,2017,3,0
"BR","III",5,2018,0,0
"BR","III",5,2019,17,13
"BR","III",5,2020,201,6
"BR","III",5,2021,8,0
"BR","III",6,2006,NA,41
"BR","III",6,2007,79,28
"BR","III",6,2008,49,33
"BR","III",6,2009,164,24
"BR","III",6,2010,48,24
"BR","III",6,2011,14,1
"BR","III",6,2012,8,0
"BR","III",6,2013,4,0
"BR","III",6,2014,0,0
"BR","III",6,2015,0,0
"BR","III",6,2016,0,0
"BR","III",6,2017,3,1
"BR","III",6,2018,10,11
"BR","III",6,2019,62,51
"BR","III",6,2020,282,4
"BR","III",6,2021,6,0
"BR","III",7,2006,NA,5
"BR","III",7,2007,57,3
"BR","III",7,2008,17,13
"BR","III",7,2009,121,20
"BR","III",7,2010,27,13
"BR","III",7,2011,26,11
"BR","III",7,2012,74,3
"BR","III",7,2013,48,7
"BR","III",7,2014,0,0
"BR","III",7,2015,6,0
"BR","III",7,2016,0,0
"BR","III",7,2017,1,0
"BR","III",7,2018,1,4
"BR","III",7,2019,50,30
"BR","III",7,2020,428,8
"BR","III",7,2021,6,0
"BR","III",8,2006,9,0
"BR","III",8,2007,16,4
"BR","III",8,2008,7,7
"BR","III",8,2009,90,9
"BR","III",8,2010,21,16
"BR","III",8,2011,39,5
"BR","III",8,2012,137,6
"BR","III",8,2013,33,1
"BR","III",8,2014,0,0
"BR","III",8,2015,4,0
"BR","III",8,2016,0,0
"BR","III",8,2017,23,1
"BR","III",8,2018,5,1
"BR","III",8,2019,19,6
"BR","III",8,2020,270,0
"BR","III",8,2021,3,0
"BR","IV",1,2006,1,0
"BR","IV",1,2007,16,0
"BR","IV",1,2008,13,4
"BR","IV",1,2009,119,15
"BR","IV",1,2010,8,1
"BR","IV",1,2011,8,0
"BR","IV",1,2012,2,0
"BR","IV",1,2013,6,0
"BR","IV",1,2014,0,0
"BR","IV",1,2015,1,0
"BR","IV",1,2016,0,1
"BR","IV",1,2017,35,2
"BR","IV",1,2018,1,2
"BR","IV",1,2019,11,7
"BR","IV",1,2020,126,11
"BR","IV",1,2021,8,0
"BR","IV",2,2006,17,5
"BR","IV",2,2007,7,1
"BR","IV",2,2008,5,9
"BR","IV",2,2009,28,10
"BR","IV",2,2010,8,4
"BR","IV",2,2011,4,0
"BR","IV",2,2012,10,0
"BR","IV",2,2013,1,0
"BR","IV",2,2014,0,0
"BR","IV",2,2015,6,0
"BR","IV",2,2016,0,0
"BR","IV",2,2017,1,0
"BR","IV",2,2018,0,0
"BR","IV",2,2019,0,0
"BR","IV",2,2020,30,1
"BR","IV",2,2021,6,0
"BR","IV",3,2006,28,16
"BR","IV",3,2007,8,10
"BR","IV",3,2008,114,11
"BR","IV",3,2009,147,6
"BR","IV",3,2010,6,10
"BR","IV",3,2011,8,0
"BR","IV",3,2012,66,0
"BR","IV",3,2013,3,0
"BR","IV",3,2014,0,0
"BR","IV",3,2015,2,0
