"site","countFruitNumberPerPlant","permanentPlot","damage","year"
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",5,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",6,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",7,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",8,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",9,0,NA,2006
"CF",10,0,NA,2006
"CF",10,0,NA,2006
"CF",10,0,NA,2006
"CF",11,0,NA,2006
"CF",11,0,NA,2006
"CF",11,0,NA,2006
"CF",11,0,NA,2006
"CF",11,0,NA,2006
"CF",11,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",12,0,NA,2006
"CF",13,0,NA,2006
"CF",13,0,NA,2006
"CF",13,0,NA,2006
"CF",13,0,NA,2006
"CF",14,0,NA,2006
"CF",14,0,NA,2006
"CF",14,0,NA,2006
"CF",14,0,NA,2006
"CF",14,0,NA,2006
"CF",15,0,NA,2006
"CF",15,0,NA,2006
"CF",16,0,NA,2006
"CF",16,0,NA,2006
"CF",16,0,NA,2006
"CF",17,0,NA,2006
"CF",18,0,NA,2006
"CF",18,0,NA,2006
"CF",18,0,NA,2006
"CF",19,0,NA,2006
"CF",19,0,NA,2006
"CF",19,0,NA,2006
"CF",21,0,NA,2006
"CF",22,0,NA,2006
"CF",23,0,NA,2006
"CF",24,0,NA,2006
"CF",25,0,NA,2006
"CF",25,0,NA,2006
"CF",31,0,NA,2006
"CF",33,0,NA,2006
"CF",35,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",1,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",2,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",3,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
"CP3",4,0,NA,2006
