"site","year","damaged","sdno"
"OKRE",2007,0,42
"OKRE",2007,0,42
"OKRE",2007,0,42
"OKRE",2007,0,42
"OKRE",2007,0,43
"OKRE",2007,0,43
"OKRE",2007,0,44
"OKRE",2007,0,44
"OKRE",2007,0,50
"OKRE",2007,0,50
"OKRW",2007,0,30
"OKRW",2007,0,30
"OKRW",2007,0,39
"OKRW",2007,0,39
"OKRW",2007,0,43
"OKRW",2007,0,43
"OKRW",2007,0,44
"OKRW",2007,0,44
"OKRW",2007,0,46
"OKRW",2007,0,46
"OKRW",2007,0,46
"OKRW",2007,0,46
"OKRW",2007,0,48
"OKRW",2007,0,48
"OKRW",2007,0,48
"OKRW",2007,0,48
"OKRW",2007,0,53
"OKRW",2007,0,53
"OKRW",2007,0,57
"OKRW",2007,0,57
"OKRW",2007,0,58
"OKRW",2007,0,58
"OKRW",2007,0,66
"OKRW",2007,0,66
"OKRW",2007,0,76
"OKRW",2007,0,76
"OKRW",2007,0,76
"OKRW",2007,0,76
"OSR",2007,0,0
"OSR",2007,0,1
"OSR",2007,0,15
"OSR",2007,0,17
"OSR",2007,0,22
"OSR",2007,0,23
"OSR",2007,0,27
"OSR",2007,0,28
"OSR",2007,0,30
"OSR",2007,0,31
"OSR",2007,0,32
"OSR",2007,0,33
"OSR",2007,0,33
"OSR",2007,0,34
"OSR",2007,0,35
"OSR",2007,0,36
"OSR",2007,0,36
"OSR",2007,0,37
"OSR",2007,0,44
"OSR",2007,0,46
"OSR",2007,0,47
"OSR",2007,0,48
"OSR",2007,0,48
"OSR",2007,0,49
"OSR",2007,0,51
"OSR",2007,0,51
"OSR",2007,0,54
"OSR",2007,0,54
"OSR",2007,0,57
"OSR",2007,0,60
"OSR",2007,0,65
"OSR",2007,0,67
"S22",2007,0,2
"S22",2007,0,9
"S22",2007,0,11
"S22",2007,0,14
"S22",2007,0,18
"S22",2007,0,22
"S22",2007,0,22
"S22",2007,0,23
"S22",2007,0,24
"S22",2007,0,27
"S22",2007,0,31
"S22",2007,0,31
"S22",2007,0,32
"S22",2007,0,33
"S22",2007,0,33
"S22",2007,0,35
"S22",2007,0,37
"S22",2007,0,37
"S22",2007,0,38
"S22",2007,0,39
"S22",2007,0,40
"S22",2007,0,40
"S22",2007,0,41
"S22",2007,0,42
