"site","bagNo","round","age","block","germStart","germCount","viabStart","viabStain"
"OSR",68,3,1,12,15,9,6,1
"OSR",69,3,1,8,15,12,3,2
"OSR",69,3,1,16,15,12,3,2
"OSR",70,3,1,9,15,9,6,5
"OSR",70,3,1,17,15,14,1,0
"S22",61,3,1,7,12,3,9,4
"S22",61,3,1,14,15,2,10,1
"S22",62,3,1,8,13,5,8,2
"S22",62,3,1,15,13,8,5,2
"S22",63,3,1,10,15,9,6,5
"S22",63,3,1,16,3,2,1,0
"S22",64,3,1,3,15,4,10,7
"S22",64,3,1,11,7,2,5,2
"S22",65,3,1,5,15,8,7,4
"S22",65,3,1,13,15,8,7,5
"S22",66,3,1,1,11,2,9,5
"S22",67,3,1,2,11,6,5,2
"S22",68,3,1,6,9,3,6,2
"S22",69,3,1,9,9,0,9,1
"S22",70,3,1,4,15,1,10,10
"S22",70,3,1,12,15,10,5,5
"SM",61,3,1,6,15,0,10,0
"SM",62,3,1,8,8,4,4,4
"SM",63,3,1,1,4,0,4,0
"SM",64,3,1,3,15,2,2,0
"SM",66,3,1,9,15,8,7,1
"SM",66,3,1,13,4,0,4,0
"SM",67,3,1,5,15,0,10,0
"SM",67,3,1,11,14,0,10,1
"SM",68,3,1,4,15,4,10,8
"SM",68,3,1,10,1,0,1,1
"SM",69,3,1,2,7,0,7,1
"SM",70,3,1,7,15,7,8,3
"SM",70,3,1,12,8,6,2,0
"URS",61,3,1,3,15,13,2,0
"URS",61,3,1,12,15,14,1,0
"URS",62,3,1,5,15,14,1,0
"URS",62,3,1,14,15,14,1,0
"URS",63,3,1,2,15,13,2,1
"URS",63,3,1,11,15,11,4,2
"URS",64,3,1,4,15,8,7,5
"URS",64,3,1,13,15,13,2,0
"URS",66,3,1,1,15,10,5,3
"URS",66,3,1,10,15,13,2,1
"URS",67,3,1,9,15,9,6,4
"URS",67,3,1,17,15,12,3,1
"URS",68,3,1,8,3,3,0,NA
"URS",69,3,1,7,15,12,3,3
"URS",69,3,1,16,15,11,4,3
"URS",70,3,1,6,15,10,5,4
"URS",70,3,1,15,15,8,7,6
